City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,2.41,76,93,0.72,US,1699923133
1,iqaluit,63.7506,-68.5145,-17.95,64,0,2.57,CA,1699923352
2,isafjordur,66.0755,-23.124,1.61,86,57,2.89,IS,1699923352
3,wailua homesteads,22.0669,-159.378,28.24,84,100,6.17,US,1699923352
4,blackmans bay,-43.0167,147.3167,17.51,47,23,1.34,AU,1699923352
5,enewetak,11.3474,162.3373,28.4,80,70,8.88,MH,1699923259
6,kongolo,-5.3833,27.0,20.56,99,100,1.25,CD,1699923353
7,thurso,58.5927,-3.5259,8.14,81,99,9.63,GB,1699923353
8,hobyo,5.3505,48.5268,26.37,84,32,2.22,SO,1699923255
9,edinburgh of the seven seas,-37.0676,-12.3116,13.62,77,8,11.32,SH,1699923353
10,port-aux-francais,-49.35,70.2167,6.69,97,100,16.34,TF,1699923353
11,adamstown,-25.066,-130.1015,22.85,85,100,7.76,PN,1699923353
12,college,64.8569,-147.8028,-2.74,94,100,2.57,US,1699923353
13,bilibino,68.0546,166.4372,-27.84,100,100,1.88,RU,1699923354
14,waitangi,-43.9535,-176.5597,13.21,88,1,9.08,NZ,1699923354
15,mejit,10.2753,170.8646,27.93,80,93,8.19,MH,1699923062
16,ushuaia,-54.8,-68.3,2.81,75,40,8.75,AR,1699923239
17,guerrero negro,27.9769,-114.0611,20.89,54,100,4.59,MX,1699923354
18,beitbridge,-22.2167,30.0,19.04,82,8,9.91,ZW,1699923354
19,petukhovo,55.0692,67.9019,3.41,82,100,6.89,RU,1699923355
20,saint-pierre,-21.3393,55.4781,23.09,64,61,2.57,RE,1699923071
21,puerto natales,-51.7236,-72.4875,1.06,85,87,3.51,CL,1699923355
22,chonchi,-42.6128,-73.8092,6.56,88,68,1.53,CL,1699923355
23,al bawiti,28.3492,28.8659,19.07,55,0,2.43,EG,1699923355
24,bridgeport,41.167,-73.2048,7.0,78,27,0.45,US,1699923190
25,west island,-12.1568,96.8225,26.99,78,75,4.12,CC,1699923355
26,kamaishi,39.2667,141.8833,8.98,64,66,4.54,JP,1699923356
27,port blair,11.6667,92.75,25.02,94,100,1.03,IN,1699923356
28,plettenberg bay,-34.0527,23.3716,13.86,87,0,4.42,ZA,1699923060
29,sandnessjoen,66.0217,12.6316,-11.71,68,19,4.53,NO,1699923356
30,lumding railway colony,25.749,93.17,17.79,95,33,0.49,IN,1699923356
31,hermanus,-34.4187,19.2345,15.64,77,11,9.8,ZA,1699923356
32,holualoa,19.6228,-155.9522,28.21,73,40,5.14,US,1699923356
33,remire-montjoly,4.9167,-52.2667,26.02,89,0,1.54,GF,1699923280
34,talnakh,69.4865,88.3972,-17.4,97,52,4.55,RU,1699923086
35,keflavik,64.0049,-22.5624,7.24,65,0,7.72,IS,1699923357
36,grytviken,-54.2811,-36.5092,2.29,98,100,3.44,GS,1699923357
